Pipe_ID,Start_Node_ID,End_Node_ID,Pipe_Length,Pipe_Capacity,Operation_Cost
276,6,26,811,193.18,314.29
277,6,27,519,446.8,849.87
278,6,28,449,362.31,534.91
279,6,29,512,323.07,714.03
280,6,30,841,177.96,888.49
281,6,31,518,255.8,447.74
282,6,32,396,183.64,704.61
283,6,33,425,213.56,902.46
284,6,34,829,122.04,644.73
285,6,35,845,198.96,866.28
286,6,36,856,374.4,800.11
287,6,37,808,188.36,693.99
288,6,38,862,258.03,808.22
289,6,39,494,423.38,381.43
290,6,40,303,221.95,553.08
291,6,41,403,230.68,184.66
292,6,42,472,437.7,359.82
293,6,43,636,351.3,683.91
294,6,44,808,451.46,359.45
295,6,45,434,177.52,207.41
296,6,46,572,241.77,776.14
297,6,47,424,240.57,897.87
298,6,48,526,254.07,778.49
299,6,49,518,484.63,544.87
300,7,50,524,418.31,923.65
301,7,1,489,160.62,240.25
302,7,2,725,236.4,985.82
303,7,3,880,371.31,132.66
304,7,4,546,430.87,518.91
305,7,5,740,275.61,195.51
306,7,6,716,404.22,905.66
307,7,7,801,392.07,362.03
308,7,8,724,465.62,995.63
309,7,9,373,238.59,268.74
310,7,10,579,374.95,377.4
311,7,11,784,142.44,890.4
312,7,12,688,400.3,927.75
313,7,13,571,366.03,687.74
314,7,14,859,368.25,199.76
315,7,15,321,457.46,491.82
316,7,16,827,223.14,416.91
317,7,17,605,276.92,693.49
318,7,18,834,184.43,297.89
319,7,19,727,333.92,985.8
320,7,20,335,241.97,244.87
321,7,21,734,220.89,198.59
322,7,22,479,323.71,402.55
323,7,23,317,344.71,604.78
324,7,24,865,436.67,321.93
325,7,25,663,376.02,695.29
326,7,26,601,233.2,766.29
327,7,27,457,216.73,974.65
328,7,28,402,168.38,506.06
329,7,29,331,257.28,882.4
330,7,30,847,193.71,759.15
331,7,31,768,202.46,854.64
332,7,32,611,270.5,673.77
333,7,33,678,375.48,616.14
334,7,34,665,336.37,854.32
335,7,35,785,375.08,552.71
336,7,36,301,490.56,320.79
337,7,37,877,278.35,546.79
338,7,38,846,167.25,808.46
339,7,39,664,486.32,106.41
340,7,40,871,181.65,919.82
341,7,41,803,232.98,773.96
342,7,42,531,373.27,662.85
343,7,43,338,169.38,682.55
344,7,44,714,155.25,651.02
345,7,45,707,105.03,779.77
346,7,46,357,272.35,103.1
347,7,47,870,108.49,910.97
348,7,48,541,174.2,262.02
349,7,49,888,409.95,691.76
350,8,50,608,415.45,787.35
351,8,1,507,235.62,454.1
352,8,2,479,354.12,734.87
353,8,3,407,175.51,848.98
354,8,4,405,322.4,542.7
355,8,5,844,140.06,700.92
356,8,6,738,463.45,715.7
357,8,7,591,355.15,551.46
358,8,8,513,462.85,784.28
359,8,9,506,472.81,691.97
360,8,10,850,301.84,444.9
361,8,11,436,225.86,511.6
362,8,12,682,206.11,799.56
363,8,13,466,457.4,384.57
364,8,14,800,462.11,390.43
365,8,15,835,287.44,549.14
366,8,16,359,480.7,949.53
367,8,17,691,343.48,181.68
368,8,18,545,263.74,361.0
369,8,19,558,161.17,704.32
370,8,20,713,393.8,240.19
371,8,21,846,186.94,217.34
372,8,22,554,481.0,157.52
373,8,23,426,487.65,685.88
374,8,24,655,102.08,347.8
375,8,25,845,449.48,338.01
376,8,26,855,439.05,449.84
377,8,27,858,465.36,537.31
378,8,28,456,392.81,387.69
379,8,29,331,398.46,684.52
380,8,30,343,440.27,475.3
381,8,31,360,232.51,746.13
382,8,32,500,275.06,189.42
383,8,33,844,471.79,350.3
384,8,34,426,278.86,440.46
385,8,35,580,320.03,952.8
386,8,36,495,422.69,931.12
387,8,37,795,177.82,951.11
388,8,38,893,175.56,533.02
389,8,39,618,108.64,215.43
390,8,40,406,407.92,152.42
391,8,41,498,385.28,617.7
392,8,42,488,104.44,100.12
393,8,43,583,130.85,650.11
394,8,44,341,229.29,732.18
395,8,45,307,211.58,711.14
396,8,46,870,171.6,118.72
397,8,47,432,415.59,271.2
398,8,48,481,430.68,364.07
399,8,49,490,400.0,165.57
400,9,50,754,239.6,636.31
401,9,1,309,322.09,781.27
402,9,2,463,384.06,996.63
403,9,3,707,191.13,239.59
404,9,4,730,308.7,429.12
405,9,5,410,411.47,489.67
406,9,6,463,178.63,185.74
407,9,7,761,447.97,840.94
408,9,8,629,244.49,232.22
409,9,9,750,151.65,148.97
410,9,10,318,322.39,713.04
411,9,11,659,271.02,450.76
412,9,12,514,380.37,102.95
413,9,13,572,180.1,188.76
414,9,14,338,118.2,140.3
415,9,15,424,334.5,923.07
416,9,16,743,441.01,495.12
417,9,17,861,394.66,559.36
418,9,18,354,113.63,390.08
419,9,19,437,331.71,307.06
420,9,20,332,461.87,757.17
421,9,21,545,204.15,811.89
422,9,22,453,432.31,925.64
423,9,23,750,284.4,129.25
424,9,24,899,380.83,110.34
425,9,25,461,252.75,693.09
426,9,26,584,150.64,710.84
427,9,27,324,129.28,280.43
428,9,28,884,372.93,705.44
429,9,29,892,188.4,489.23
430,9,30,343,330.66,536.07
431,9,31,387,499.15,887.66
432,9,32,814,475.06,126.35
433,9,33,722,289.05,252.24
434,9,34,495,254.76,171.29
435,9,35,579,255.16,321.41
436,9,36,584,390.72,447.11
437,9,37,356,202.06,957.43
438,9,38,308,191.29,734.54
439,9,39,713,441.6,547.25
440,9,40,648,281.47,952.95
441,9,41,648,449.32,338.35
442,9,42,612,386.18,523.14
443,9,43,593,459.81,107.77
444,9,44,621,147.36,877.44
445,9,45,430,147.62,393.6
446,9,46,899,238.78,666.46
447,9,47,662,396.82,322.11
448,9,48,662,271.39,125.74
449,9,49,514,240.63,220.5
450,10,50,689,141.76,881.03
451,10,1,549,192.23,630.16
452,10,2,339,221.98,574.0
453,10,3,787,248.36,845.97
454,10,4,343,138.0,559.45
455,10,5,712,397.45,598.26
456,10,6,714,260.36,618.85
457,10,7,320,491.47,439.46
458,10,8,508,216.65,128.36
459,10,9,353,246.57,295.54
460,10,10,711,412.44,375.7
461,10,11,439,214.63,403.63
462,10,12,707,289.65,678.3
463,10,13,796,397.01,905.82
464,10,14,570,121.9,832.97
465,10,15,758,480.12,881.98
466,10,16,554,413.94,895.73
467,10,17,344,219.08,516.46
468,10,18,382,209.79,107.2
469,10,19,312,122.06,923.67
470,10,20,397,224.78,567.82
471,10,21,483,218.47,535.79
472,10,22,843,445.36,109.48
473,10,23,539,498.64,274.1
474,10,24,879,170.46,214.12
475,10,25,812,106.99,407.12
476,10,26,629,179.51,872.69
477,10,27,787,241.67,695.47
478,10,28,451,141.34,215.78
479,10,29,629,451.39,539.63
480,10,30,439,273.73,732.52
481,10,31,571,168.01,142.51
482,10,32,407,175.18,548.27
483,10,33,505,195.7,585.24
484,10,34,678,311.99,291.33
485,10,35,621,152.98,963.11
486,10,36,554,447.7,663.68
487,10,37,414,301.71,192.57
488,10,38,581,192.22,710.6
489,10,39,704,273.65,662.24
490,10,40,676,445.93,115.27
491,10,41,684,126.31,714.12
492,10,42,600,385.18,727.64
493,10,43,460,480.93,336.09
494,10,44,405,403.09,735.14
495,10,45,415,324.96,257.96
496,10,46,325,458.68,737.08
497,10,47,893,150.72,501.1
498,10,48,664,168.85,167.67
499,10,49,362,455.07,408.15
500,11,50,618,283.55,186.17
501,11,1,497,165.21,493.8
502,11,2,785,391.8,335.89
503,11,3,627,452.73,314.51
504,11,4,486,321.47,711.92
505,11,5,358,162.73,876.2
506,11,6,877,307.13,686.39
507,11,7,691,395.27,506.85
508,11,8,375,270.96,762.02
509,11,9,373,454.61,118.19
510,11,10,868,353.95,450.37
511,11,11,533,461.12,321.84
512,11,12,571,322.09,427.37
513,11,13,746,489.36,657.7
514,11,14,433,377.11,528.26
515,11,15,314,241.34,886.35
516,11,16,377,174.87,566.94
517,11,17,806,136.71,488.68
518,11,18,644,480.5,253.97
519,11,19,537,303.39,488.82
520,11,20,416,189.85,343.69
521,11,21,606,110.71,458.39
522,11,22,765,482.84,878.75
523,11,23,639,193.03,672.04
524,11,24,694,143.3,903.51
525,11,25,877,272.66,296.25
526,11,26,431,488.11,531.11
527,11,27,329,124.69,232.04
528,11,28,561,339.05,113.08
529,11,29,763,151.76,328.83
530,11,30,327,311.76,279.78
531,11,31,421,233.47,676.69
532,11,32,838,370.51,332.3
533,11,33,332,153.05,800.73
534,11,34,600,358.8,746.4
535,11,35,686,450.8,339.89
536,11,36,787,125.46,324.53
537,11,37,769,157.97,224.27
538,11,38,867,176.96,552.68
539,11,39,401,281.65,325.69
540,11,40,900,129.37,107.22
541,11,41,578,186.09,860.91
542,11,42,574,277.91,738.93
543,11,43,744,363.86,669.63
544,11,44,451,323.17,164.17
545,11,45,404,303.5,256.57
546,11,46,841,181.02,496.49
547,11,47,626,347.47,665.38
548,11,48,418,372.59,266.25
549,11,49,519,248.87,333.39
550,12,50,483,131.56,918.85
551,12,1,717,335.69,403.24
552,12,2,400,498.64,251.74
553,12,3,878,430.77,539.61
554,12,4,308,151.51,686.16
555,12,5,883,208.72,155.27
556,12,6,403,346.21,857.7
557,12,7,546,462.53,189.75
558,12,8,650,237.78,607.67
559,12,9,813,470.89,658.51
560,12,10,334,398.59,515.88
561,12,11,793,206.42,686.37
562,12,12,566,370.43,354.21
563,12,13,478,385.37,952.24
564,12,14,640,155.19,817.97
565,12,15,481,229.37,516.75
566,12,16,608,268.65,111.87
567,12,17,521,391.02,114.87
568,12,18,750,414.76,987.87
569,12,19,518,281.87,700.17
570,12,20,687,373.13,673.46
571,12,21,795,411.71,682.92
572,12,22,575,238.16,801.61
573,12,23,470,112.98,597.9
574,12,24,879,252.06,302.65
575,12,25,765,409.98,772.99
576,12,26,401,191.19,219.38
577,12,27,890,323.72,905.67
578,12,28,643,413.48,622.63
579,12,29,614,348.47,800.9
580,12,30,805,112.86,432.52
581,12,31,550,308.6,729.32
582,12,32,487,227.51,758.96
583,12,33,624,342.51,534.79
584,12,34,790,257.93,295.89
585,12,35,849,470.24,720.8
586,12,36,862,404.24,224.9
587,12,37,819,346.22,886.49
588,12,38,703,448.97,634.71
589,12,39,592,233.13,175.6
590,12,40,889,292.93,879.16
591,12,41,837,331.24,998.76
592,12,42,683,200.46,262.73
593,12,43,531,349.85,636.71
594,12,44,322,261.11,943.96
595,12,45,444,401.4,678.98
596,12,46,852,241.32,107.98
597,12,47,344,274.8,546.84
598,12,48,685,454.75,677.4
599,12,49,600,279.41,441.98
600,13,50,578,363.18,321.46
601,13,1,566,390.87,788.75
602,13,2,414,412.38,553.67
603,13,3,723,331.45,545.5
604,13,4,615,251.3,811.8
605,13,5,398,190.13,995.82
606,13,6,308,379.37,315.66
607,13,7,314,387.66,972.93
608,13,8,829,146.71,465.23
609,13,9,830,127.95,438.57
610,13,10,620,284.85,916.72
611,13,11,696,133.37,591.63
612,13,12,870,493.92,430.85
613,13,13,402,460.04,346.04
614,13,14,625,453.67,905.09
615,13,15,784,324.08,557.32
616,13,16,485,254.42,806.16
617,13,17,724,382.15,702.33
618,13,18,439,181.95,214.91
619,13,19,544,285.81,994.83
620,13,20,799,234.61,871.63
621,13,21,813,358.63,686.7
622,13,22,565,213.73,456.96
623,13,23,535,172.2,699.87
624,13,24,420,224.5,657.91
625,13,25,727,130.19,342.35
626,13,26,751,438.84,429.87
627,13,27,780,402.51,862.64
628,13,28,546,417.95,755.28
629,13,29,440,314.25,931.41
630,13,30,504,242.15,435.35
631,13,31,516,203.08,105.82
632,13,32,713,172.87,687.73
633,13,33,790,358.38,321.32
634,13,34,875,311.65,966.84
635,13,35,328,362.42,113.6
636,13,36,378,255.33,671.2
637,13,37,725,309.93,720.48
638,13,38,644,251.79,954.47
639,13,39,437,343.64,599.96
640,13,40,309,498.51,178.17
641,13,41,512,217.76,155.72
642,13,42,310,335.22,829.59
643,13,43,549,263.19,461.84
644,13,44,422,191.74,297.52
645,13,45,445,438.66,137.89
646,13,46,603,134.02,361.19
647,13,47,373,418.03,894.72
648,13,48,510,241.98,530.06
649,13,49,609,226.02,992.23
650,14,50,430,309.99,327.7
651,14,1,398,425.76,960.28
652,14,2,685,226.28,600.96
653,14,3,626,415.85,718.33
654,14,4,480,320.52,957.4
655,14,5,361,373.24,101.27
656,14,6,615,396.76,843.0
657,14,7,887,265.4,379.95
658,14,8,553,473.09,468.28
659,14,9,890,126.08,980.64
660,14,10,355,439.21,567.04
661,14,11,528,498.63,594.32
662,14,12,826,345.52,261.9
663,14,13,822,191.45,164.31
664,14,14,465,453.33,309.81
665,14,15,554,340.21,622.19
666,14,16,772,278.86,381.59
667,14,17,872,236.15,331.21
668,14,18,499,250.98,459.32
669,14,19,462,312.55,251.62
670,14,20,517,224.31,977.01
671,14,21,882,360.85,812.46
672,14,22,893,145.33,283.62
673,14,23,419,201.21,212.0
674,14,24,705,274.53,648.93
675,14,25,466,116.73,958.63
676,14,26,888,285.57,418.34
677,14,27,668,459.28,895.28
678,14,28,900,444.93,621.1
679,14,29,619,364.65,791.95
680,14,30,527,286.83,420.85
681,14,31,786,357.16,930.92
682,14,32,359,469.34,615.45
683,14,33,359,113.78,597.28
684,14,34,723,121.51,875.43
685,14,35,634,123.98,966.55
686,14,36,406,141.02,840.88
687,14,37,630,332.42,842.15
688,14,38,612,470.71,415.84
689,14,39,611,333.43,319.42
690,14,40,656,297.79,912.31
691,14,41,346,193.67,398.64
692,14,42,301,453.64,366.38
693,14,43,726,160.75,285.48
694,14,44,700,398.14,996.78
695,14,45,610,445.36,245.03
696,14,46,820,298.25,328.83
697,14,47,437,363.32,792.44
698,14,48,367,392.46,574.28
699,14,49,658,280.33,636.79
700,15,50,737,355.06,889.4
701,15,1,660,345.38,408.9
702,15,2,340,227.77,152.38
703,15,3,767,180.0,324.02
704,15,4,343,483.31,146.25
705,15,5,464,228.87,850.92
706,15,6,303,159.04,817.07
707,15,7,419,416.72,216.07
708,15,8,888,373.14,880.26
709,15,9,858,401.76,627.68
710,15,10,858,335.13,882.79
711,15,11,603,472.77,708.49
712,15,12,615,342.96,737.46
713,15,13,457,212.06,539.66
714,15,14,623,167.66,822.03
715,15,15,589,174.07,152.26
716,15,16,788,202.54,843.71
717,15,17,589,354.55,110.95
718,15,18,751,237.03,748.99
719,15,19,765,283.74,577.85
720,15,20,767,133.2,310.57
721,15,21,412,140.69,266.35
722,15,22,769,186.46,434.26
723,15,23,705,252.1,649.82
724,15,24,546,300.03,947.14
725,15,25,851,223.65,909.14
726,15,26,454,429.77,462.31
727,15,27,368,161.42,488.92
728,15,28,845,207.96,416.12
729,15,29,450,259.4,806.93
730,15,30,510,144.59,223.58
731,15,31,403,197.75,147.01
732,15,32,578,300.88,273.64
733,15,33,690,463.41,571.92
734,15,34,364,299.06,531.38
735,15,35,467,343.33,144.77
736,15,36,478,436.65,815.18
737,15,37,720,349.85,119.87
738,15,38,474,395.47,573.27
739,15,39,870,436.38,853.2
740,15,40,501,326.84,247.82
741,15,41,889,138.54,209.24
742,15,42,727,329.68,404.35
743,15,43,658,349.64,934.89
744,15,44,428,136.57,939.09
745,15,45,424,337.2,871.15
746,15,46,474,332.25,347.26
747,15,47,727,158.73,838.5
748,15,48,888,249.83,935.93
749,15,49,900,327.88,207.55
750,16,50,722,403.2,936.84
751,16,1,418,462.23,676.8
752,16,2,550,445.21,729.8
753,16,3,792,189.93,335.31
754,16,4,573,140.56,389.15
755,16,5,624,302.07,531.53
756,16,6,460,337.0,164.73
757,16,7,852,190.19,844.09
758,16,8,604,398.26,568.51
759,16,9,678,246.66,645.05
760,16,10,413,403.39,759.23
761,16,11,313,209.93,413.8
762,16,12,878,393.54,295.8
763,16,13,725,426.88,665.33
764,16,14,677,146.7,678.3
765,16,15,886,264.55,211.7
766,16,16,693,435.74,220.74
767,16,17,854,471.93,584.2
768,16,18,360,397.72,235.04
769,16,19,657,127.64,127.46
770,16,20,783,187.99,736.93
771,16,21,474,262.16,419.95
772,16,22,619,441.21,325.36
773,16,23,714,307.12,195.63
774,16,24,756,212.38,400.69
775,16,25,732,446.21,431.15
776,16,26,685,141.3,901.42
777,16,27,755,172.69,478.5
778,16,28,321,462.37,828.54
779,16,29,863,402.87,661.76
780,16,30,807,345.18,712.08
781,16,31,875,308.11,885.93
782,16,32,719,192.58,181.5
783,16,33,465,385.96,695.13
784,16,34,865,313.32,436.25
785,16,35,701,391.3,265.01
786,16,36,819,305.66,847.91
787,16,37,549,399.5,973.46
788,16,38,705,477.17,578.5
789,16,39,877,247.36,212.9
790,16,40,614,498.92,892.3
791,16,41,626,110.97,737.42
792,16,42,470,237.52,265.36
793,16,43,841,384.22,382.1
794,16,44,612,428.24,295.3
795,16,45,826,323.07,986.9
796,16,46,382,254.34,825.28
797,16,47,495,471.24,909.61
798,16,48,388,220.4,380.77
799,16,49,323,389.89,477.71
800,17,50,460,218.73,407.55
801,17,1,854,193.17,476.74
802,17,2,526,150.64,799.53
803,17,3,384,140.98,900.75
804,17,4,852,387.9,275.7
805,17,5,449,255.12,879.94
806,17,6,539,225.85,781.51
807,17,7,844,266.92,771.8
808,17,8,706,300.8,575.74
809,17,9,610,109.38,231.86
810,17,10,530,463.29,986.37
811,17,11,631,417.18,637.76
812,17,12,300,314.1,510.48
813,17,13,853,280.7,107.26
814,17,14,873,146.4,599.4
815,17,15,408,349.32,989.89
816,17,16,447,175.86,598.63
817,17,17,651,468.7,928.62
818,17,18,653,399.17,739.13
819,17,19,900,149.56,219.0
820,17,20,677,305.25,134.22
821,17,21,455,300.18,753.57
822,17,22,599,412.11,709.01
823,17,23,715,472.33,258.37
824,17,24,609,205.73,907.06
825,17,25,335,244.11,230.12
826,17,26,495,309.23,390.12
827,17,27,478,231.09,447.28
828,17,28,304,264.83,384.22
829,17,29,460,461.91,368.88
830,17,30,661,326.29,887.56
831,17,31,571,367.35,777.63
832,17,32,716,425.44,514.21
833,17,33,779,467.5,675.11
834,17,34,328,389.35,610.53
835,17,35,545,204.95,262.88
836,17,36,486,203.7,875.07
837,17,37,511,134.6,639.01
838,17,38,315,412.85,949.99
839,17,39,514,233.37,855.84
840,17,40,799,195.65,213.12
841,17,41,497,325.09,245.03
842,17,42,474,226.28,239.08
843,17,43,874,322.77,878.82
844,17,44,599,484.09,111.85
845,17,45,799,449.86,854.44
846,17,46,402,375.98,158.1
847,17,47,578,197.14,744.15
848,17,48,842,400.01,718.29
849,17,49,524,448.17,804.22
850,18,50,547,408.55,488.12
851,18,1,821,100.52,798.81
852,18,2,459,498.84,157.15
853,18,3,806,409.97,671.9
854,18,4,781,384.32,595.01
855,18,5,779,233.8,216.63
856,18,6,893,444.26,860.59
857,18,7,788,170.91,286.05
858,18,8,464,258.53,158.66
859,18,9,538,422.96,432.39
860,18,10,708,150.14,113.88
861,18,11,389,345.38,368.39
862,18,12,310,343.02,267.97
863,18,13,770,447.18,982.03
864,18,14,523,394.32,948.96
865,18,15,633,421.65,545.64
866,18,16,612,331.71,579.5
867,18,17,569,393.49,488.95
868,18,18,743,474.08,288.8
