ID_Tuberia,ID_Nodo_Inicio,ID_Nodo_Final,Longitud_(km),Costo_de_energia,Flujo_Necesario_(m3),Mano_de_obra,Material,Costo_de_Operacion
85,2,36,49,2726.54,1339.62,9322.79,TP,97268.569
86,2,37,37.5,2503.6,2546.27,15204.29,TP,145122.024
87,2,38,10.3,2772.79,3235.86,13465.51,TC,67072.821
88,2,39,73.2,2313.67,3960.97,12902.49,TD,312900.658
89,2,40,99.4,2481.44,2186.09,15705.69,TD,244907.89
90,2,41,70,2873.09,3954.32,14231.94,TD,302446.594
91,2,42,77.7,2132.99,1717.59,17932.74,TD,164282.117
92,2,43,16.6,2666.05,4402.56,14203.12,TD,98473.538
93,2,44,35.6,2226.57,3622.58,18888.61,TP,189745.109
94,2,45,34.5,2296.02,3590.32,8093.72,TC,144777.616
95,2,46,43.1,2740.6,3917.42,12047.37,TP,208928.249
96,2,47,76.3,2725.86,1185.04,6757.98,TD,103957.18
97,2,48,13.2,2084.94,2986.65,18775.59,TP,99713.049
98,2,49,73.6,2636.78,1870.97,13056.63,TP,180815.725
99,2,50,83.4,2897.26,3327.93,14074.49,TD,302965.806
100,3,1,44.8,2626.84,3496.47,6815.86,TD,170174.072
101,3,2,53.9,2767.35,2365.16,10726.87,TC,154921.275
102,3,3,42.7,2846.05,1761.24,9711.54,TD,93589.462
103,3,4,81.8,2764.99,1563.64,17991.58,TC,172051.376
104,3,5,11.9,2192.73,946.96,17113.77,TC,52823.225
105,3,6,50,2425.36,4023.6,18170.69,TD,232678.464
106,3,7,30.8,2177.72,3394.9,9762.23,TD,122360.208
107,3,8,57.1,2924.76,3135.28,11177.43,TP,216599.281
108,3,9,26.6,2767.78,3516.45,12463.58,TC,124971.584
109,3,10,86.3,2358.56,3127.57,12508.21,TC,301036.734
110,3,11,55.6,2825.93,2924.76,12808.41,TC,194901.929
111,3,12,33,2727.39,3030.45,18641.76,TC,145608.288
112,3,13,16.2,2001.11,3938.04,12671.48,TC,94941.762
113,3,14,18,2277.26,1572.36,12156.96,TD,50030.876
114,3,15,55.8,2304.42,1148.35,17265.78,TC,106093.644
115,3,16,35.8,2216.97,2912.58,15465.4,TC,142057.754
116,3,17,61.5,2045.82,2545.27,7954.9,TP,183240.115
117,3,18,77.3,2191.55,2224,8549.63,TP,200610.603
118,3,19,29.4,2800.57,4225.55,18507.29,TD,156643.404
119,3,20,54.8,2393.69,2459.97,12712.02,TD,157539.278
120,3,21,55.5,2245.15,1347.46,18132.28,TD,106040.828
121,3,22,29.6,2804.12,2239.84,10885.34,TD,86519.928
122,3,23,90.2,2835.31,1014.9,7405.62,TP,117336.712
123,3,24,52,2073.57,3348.27,7391.67,TC,193184.451
124,3,25,12.6,2001.67,1968.11,18957.45,TC,70401.991
125,3,26,81.3,2060.46,2655.48,16749.67,TP,269874.961
126,3,27,25.2,2360.79,2546.08,14850.19,TC,100677.443
127,3,28,15.4,2225.01,2696.67,18124.97,TD,72753.68
128,3,29,40.2,2854.4,3732.15,16642.06,TD,179514.126
129,3,30,83.2,2722.39,2573.14,9447.66,TD,231923.894
130,3,31,11.5,2202.28,2890.08,11676.47,TC,62294.081
131,3,32,55,2032.45,948.79,12148.55,TP,91876.405
132,3,33,69.1,2419.54,1702.71,18216.61,TP,176548.292
133,3,34,24.5,2250.24,4087.43,15746.86,TD,127587.251
134,3,35,68,2729.78,4377.51,17809.62,TD,328895.852
135,3,36,14,2584.77,1900.44,7050.94,TC,45408.092
136,3,37,93.9,2814.1,3937.17,12719.93,TP,411946.146
137,3,38,26.6,2962.23,3969.92,12128.85,TC,136458.457
138,3,39,74.7,2361.59,2140.05,8605.12,TP,188899.197
139,3,40,13.8,2758.2,3724.9,12217.05,TP,92034.675
140,3,41,69.5,2323.29,2237.88,13943.25,TC,189925.425
141,3,42,40.5,2034.78,1947.98,9606.7,TP,110708.74
142,3,43,38.8,2468.49,932.47,11486.39,TP,74256.135
143,3,44,56.6,2867.61,1028.45,11195.03,TP,95782.473
144,3,45,61.1,2563.1,1847.8,16569.43,TC,153573.369
145,3,46,42,2304.79,1465.12,16051.78,TC,100758.924
146,3,47,84.4,2573.24,3060.55,12973.59,TD,281641.404
147,3,48,78.2,2209.87,1354.97,12353.55,TD,127934.204
148,3,49,77.7,2659.15,3245.79,15313.9,TD,279359.273
149,3,50,71.6,2190.27,2566.57,7751.59,TD,198359.226
150,4,1,80.8,2577.21,4289.19,17416.03,TC,389200.631
151,4,2,61.2,2916.62,4141.66,16713.81,TC,294827.975
152,4,3,97.9,2570.53,1217.71,15008.96,TC,156304.947
153,4,4,23.3,2076.23,3069.15,12478.78,TC,102288.619
154,4,5,48.4,2167.94,958.27,15877.71,TD,73952.544
155,4,6,44.6,2676.92,3636.58,12224.21,TP,202763.439
156,4,7,71,2726.13,1292.73,9300.77,TD,109391.192
157,4,8,72.6,2606.65,3348.51,13370.77,TP,287157.863
158,4,9,57.8,2039.73,2558.11,14338.4,TD,172839.928
159,4,10,75.9,2945.61,1325.14,14171.01,TC,136117.059
160,4,11,21.9,2154.62,2450.29,10233.02,TP,87538.333
161,4,12,68.6,2389.7,4348.23,17670.41,TC,341320.221
162,4,13,17.3,2864.26,2412.89,18156.78,TP,100893.275
163,4,14,35.5,2926.23,3126.82,17012.8,TP,166668.02
164,4,15,64.2,2161.06,937.87,14948.01,TC,96752.737
165,4,16,36.8,2002.39,938.94,9122.71,TC,57537.615
166,4,17,50.4,2282.96,1407.7,17408.21,TP,127196.491
167,4,18,81.5,2501.57,1628.52,15727,TC,171398.05
168,4,19,69.7,2531.78,4349.51,15968,TP,355193.427
169,4,20,90.9,2990.96,4066.92,17441.47,TD,400580.34
170,4,21,18.9,2750.47,1383.69,14906.21,TD,52752.147
171,4,22,92.9,2218.38,2383.48,14695.04,TD,247155.736
172,4,23,94.9,2973.38,3489.96,10143.83,TD,350400.712
173,4,24,11.6,2097.05,2261.52,6730.72,TD,39099.834
174,4,25,42.1,2184.39,2185.43,7252.55,TP,116673.898
175,4,26,17.7,2488.13,2874.6,15494,TP,101399.95
176,4,27,73.1,2895.1,3237.65,13666.5,TD,261433.715
177,4,28,25.2,2426.94,2011.02,16270.43,TD,79137.332
178,4,29,63.3,2364.28,3975.44,8261.86,TC,273011.91
179,4,30,62.9,2976.36,1407.25,15737.61,TP,140278.976
180,4,31,68.5,2491.52,3994.99,14796.25,TC,310179.71
181,4,32,81.5,2936.97,3619.55,11542.67,TD,316398.567
182,4,33,60.8,2279.31,3521.72,12411.99,TC,244947.463
183,4,34,32.4,2138.62,943.71,14653.03,TD,56159.672
184,4,35,43.7,2257.75,3417.91,12862.01,TD,172199.633
185,4,36,63.4,2842.24,2959.29,12542.91,TC,219309.919
186,4,37,69.9,2533.06,2245.32,8906.23,TP,187090.241
187,4,38,50,2966.86,1602.5,17140.14,TC,122514.182
188,4,39,68.6,2375.22,3280.78,7591.75,TD,239583.528
189,4,40,66.6,2067.24,3788.26,18442.53,TC,296783.175
190,4,41,15.4,2305.15,2840.59,7284.72,TP,68632.868
191,4,42,69.5,2459.63,2253.37,6600.75,TP,179531.17
192,4,43,75.7,2893.29,1231.09,16770.56,TP,148075.539
193,4,44,48.2,2875.93,4246.24,6962.08,TC,223557.482
194,4,45,97.4,2271,4309.59,12698.75,TD,442343.066
195,4,46,76.6,2776.37,2614.71,15703.88,TP,251745.184
196,4,47,13.7,2069.2,4282.46,10625.37,TP,93677.549
197,4,48,56.4,2259.43,4435.17,11726.8,TD,271165.898
198,4,49,28.1,2562,3392.58,17947.13,TC,139171.897
199,4,50,22.2,2746.15,1083.96,10066.55,TC,49963.127
200,5,1,23.2,2996.11,3919.73,17163.39,TD,121395.27
201,5,2,16.5,2947.98,2371.04,14039.55,TC,74361.105
202,5,3,59.1,2548.3,4204.63,12297.85,TD,270718.493
203,5,4,65.9,2850.45,3054.28,8522.62,TC,223729.528
204,5,5,73,2195.58,3439.09,12328.83,TP,291468.523
205,5,6,82.4,2424.74,3220.22,12057.78,TD,287063.316
206,5,7,32.6,2638.41,1228.06,17784.04,TP,97803.69
207,5,8,74.3,2169.68,2065.99,15110.48,TP,202515.225
208,5,9,68.5,2860.96,1383.72,16953.22,TP,150200.762
209,5,10,72.6,2158.68,4470.85,11874.47,TC,354053.671
210,5,11,35.5,2727.87,1838.17,15265.56,TC,103093.693
211,5,12,74.1,2368.45,1427.21,14284.3,TD,130979.591
212,5,13,41,2466.92,1128.58,6782.22,TD,59590.252
213,5,14,95.1,2115.22,2856.78,7609.52,TP,297384.51
214,5,15,62.4,2434.38,2815.08,10192.22,TC,201537.478
215,5,16,85.9,2461.99,3093.48,7904.64,TD,280839.346
216,5,17,93.8,2426.92,2351.9,14797.64,TP,268907.824
217,5,18,77.8,2044.21,3976.8,18788.59,TD,341500.994
218,5,19,97.5,2235.86,1870.27,17572.68,TP,239062.493
219,5,20,33.1,2387.38,1090.5,16880.39,TP,90812.139
220,5,21,46.2,2185.5,2081.35,13169.62,TD,119415.262
221,5,22,46.5,2541.95,3694.7,11460.25,TC,200704.075
222,5,23,91.3,2915.96,1317.49,18270.64,TD,152435.821
223,5,24,97.8,2750.75,4199.71,6800.23,TD,424362.756
224,5,25,87.3,2130.07,3980.42,18242.01,TC,391577.359
225,5,26,96.3,2130.11,3853.78,14926.23,TD,397131.092
226,5,27,40.8,2387.49,4185.35,16100.2,TP,223060.39
227,5,28,86,2421.61,3490.76,13589.52,TD,324370.202
228,5,29,78.5,2708.4,4472.81,17050.67,TP,406681.062
229,5,30,24.9,2908.51,1684.15,14794.55,TP,90706.95
230,5,31,25.5,2487.51,4412.37,16947.49,TD,142118.929
231,5,32,94.9,2384.81,3160.52,18328.39,TC,344473.455
232,5,33,64.1,2595.51,3950.38,13435.84,TP,297465.972
233,5,34,46,2395.46,1206.57,8503,TP,84256.98
234,5,35,35.6,2515.81,3242.69,18559.12,TP,175488.846
235,5,36,14.9,2139.78,1071.19,7961.42,TC,36411.777
236,5,37,45.6,2513.16,3631.06,6734.62,TP,188966.818
237,5,38,74.3,2886.32,3313.69,7804.87,TP,273288.584
238,5,39,66.4,2725.31,3680.34,7922.6,TD,259776.046
239,5,40,29.5,2602.63,1570.8,12508.49,TD,68954.814
240,5,41,42.3,2155.01,2265.67,14697.48,TD,121508.819
241,5,42,53,2917,3399.23,9713,TD,198616.99
242,5,43,41.8,2834.17,2652.81,16169.23,TC,150910.857
243,5,44,90.8,2650.71,3219.11,16547.17,TC,333004.389
244,5,45,82.5,2849.28,3842.68,8362.21,TP,345793.231
245,5,46,50.2,2960.3,3997.06,18557.73,TD,233305.08
246,5,47,10.2,2456.15,3355.19,17092.82,TD,64027.6
247,5,48,37.4,2160.02,1279.83,14614.25,TD,73408.462
248,5,49,87.2,2505.05,4218.94,11146.23,TC,396032.947
249,6,50,78.4,2749.31,2033.33,8187.1,TC,180992.712
250,6,1,60.8,2801.67,3568.81,17655.76,TD,248034.534
251,6,2,63.3,2448.79,3334.93,11191.92,TD,231456.931
252,6,3,45.2,2142.46,3355.47,12391.14,TP,192222.238
253,6,4,47.5,2501.1,4463.99,11106.4,TD,232310.865
254,6,5,10.9,2930.52,4253.49,11301.9,TC,75287.931
255,6,6,99.5,2179.6,904.49,17996.09,TP,147964.234
256,6,7,42.9,2793,1533.89,11668,TP,104767.681
257,6,8,74.8,2299.37,2740.19,9338.43,TP,236214.715
258,6,9,60.1,2209.3,2085.96,14949.01,TC,161958.219
259,6,10,67.5,2399.78,1811.83,9173.64,TP,153136.589
260,6,11,41.7,2097.21,1411,14820.47,TD,84648.662
261,6,12,69.9,2439.36,3215.01,14285.92,TD,250026.031
262,6,13,94.5,2758.71,2230.58,14545.59,TD,236821.464
263,6,14,94.2,2073.31,1505.9,13224.05,TP,184923.645
264,6,15,59.2,2671.02,4195.82,18597.89,TP,308717.023
265,6,16,43,2608.95,4327.12,18414.58,TC,231028.644
266,6,17,69.2,2624.03,3001.2,9130.1,TD,224915.23
267,6,18,64.9,2166.73,3139.68,13115.28,TP,246589.33
268,6,19,67,2434,4250.47,18999.09,TC,330913.397
269,6,20,46.4,2710.14,2420.81,16935.25,TP,167534.999
270,6,21,47.6,2584.63,4227.9,18286.74,TC,245892.172
271,6,22,38.1,2190.57,1725.51,8940.39,TD,82237.125
272,6,23,45.8,2410.19,4326.47,9936.37,TP,231365.263
273,6,24,85.4,2937.62,1412.12,18335.75,TD,152869.868
274,6,25,83.1,2356.44,3281.73,6783.54,TD,285921.867
275,6,26,25,2536.83,3447.76,12601.29,TP,127794.829
276,6,27,55,2399.55,2635.95,18859.64,TD,177552.224
277,6,28,15.7,2503.68,963.12,10752.4,TP,50957.104
278,6,29,11.1,2217.37,3166.27,9721.27,TP,67498.904
279,6,30,39.1,2661.1,1168.7,7172.09,TC,64853.077
280,6,31,86.8,2824.14,2135.51,15759.53,TD,213401.656
281,6,32,27.6,2284.41,3628.68,18703.82,TP,160417.82
282,6,33,13.7,2853.04,2001.76,10362.27,TP,62400.189
283,6,34,39.3,2486.67,4053.98,11967.91,TP,198908.605
284,6,35,78.7,2927.79,1627.08,9650.32,TP,160894.978
285,6,36,40.6,2721.07,1507.04,17733.36,TP,118880.31
286,6,37,59.6,2897.93,1788.79,18293.22,TP,166218.796
287,6,38,18.3,2448.35,1634.39,8544.29,TC,52009.554
288,6,39,66.4,2403.37,1127.64,12286.62,TC,105537.892
289,6,40,71.1,2451.31,1123.28,7498.96,TP,105563.294
290,6,41,10.2,2852.11,2274.49,14280.6,TP,70321.768
291,6,42,24.9,2323.12,1538.69,15299.63,TD,65115.909
292,6,43,14.1,2611.43,2097.55,16864.31,TD,59169.781
293,6,44,51.2,2660.68,3967.65,14058.4,TD,228297.8
294,6,45,90.1,2544.85,1449.44,13270.22,TP,174277.076
295,6,46,34.3,2915.26,2640.85,13070.48,TD,114409.183
296,6,47,99.2,2335.81,3179.54,9198.85,TC,338903.533
297,6,48,53.7,2904.37,1500.6,16136.85,TD,109305.55
298,6,49,83.3,2405.27,3526.06,10871.99,TC,321131.645
299,7,50,68.9,2668.13,1911.31,16903.25,TP,186757.464
300,7,1,15.6,2869.78,1099.92,14316.08,TD,42934.26
301,7,2,78.4,2637.56,1231.08,17455.35,TP,153265.817
302,7,3,45.8,2222.19,3363.64,9791.96,TP,186631.978
303,7,4,90.3,2365.68,3369.41,13873.88,TP,349632.431
304,7,5,15.3,2229.54,2911.51,9143.29,TC,67805.21
305,7,6,97.4,2512.87,1695.87,13415.54,TC,198546.35
306,7,7,56.8,2573.96,2079.51,13597.55,TP,162842.533
307,7,8,88.9,2503.74,1475.89,8230.59,TC,152640.718
308,7,9,21.8,2771.3,2572.41,17964.93,TC,100169.177
309,7,10,29,2346.48,4044.58,17693.51,TC,160334.373
310,7,11,61.7,2377.22,1359.76,18210.16,TC,128157.78
311,7,12,38.3,2022.44,2093.84,10436.55,TD,98914.992
312,7,13,45.4,2552.81,3904.33,8538.71,TP,206279.393
313,7,14,34.5,2365.15,3735.31,16336.86,TP,181877.611
314,7,15,49.2,2379.21,2877.3,7898.64,TC,162109.242
315,7,16,58,2152.4,2809.34,15641.89,TP,213583.979
316,7,17,31.4,2490.72,3576.31,9863.82,TC,137473.64
317,7,18,31.8,2493.57,1580.91,16708.57,TP,104563.075
318,7,19,57.1,2741.07,2415.11,15372.27,TC,176000.072
319,7,20,60.5,2698.16,1847.56,18887.3,TD,144695.22
320,7,21,65.5,2554.7,1216.12,12951.77,TP,122361.047
321,7,22,45.4,2739.32,2276.96,9178.38,TD,120798.712
322,7,23,71.7,2462.54,4184.31,10049.6,TD,318556.927
323,7,24,44.7,2861.79,2982.91,15540.45,TP,184373.262
324,7,25,12.3,2534.33,2468.6,16453.17,TC,70740.401
325,7,26,87.7,2064.76,1270.12,15744.93,TD,138646.172
326,7,27,97.1,2542.94,2157.94,16684.67,TD,238774.386
327,7,28,85.6,2577.75,3244.44,13247.1,TD,301497.174
328,7,29,65.5,2817.81,3377,12207.45,TP,261854.405
329,7,30,15.3,2225.27,3111.24,14301.16,TP,94160.838
330,7,31,76.3,2785.28,2395.44,16505.83,TC,223520.761
331,7,32,12.2,2298.86,4347.19,17542.12,TC,95681.454
332,7,33,89.2,2224.24,2539.02,10246.43,TP,260468.757
333,7,34,25.6,2704.76,912.17,11447.64,TD,44372.536
334,7,35,56.7,2523.26,2950.08,9284.36,TD,184647.772
335,7,36,61.4,2366.63,1298.5,17120.5,TD,109487.33
336,7,37,91.6,2030.87,2570.72,17274.57,TP,291059.989
337,7,38,90.3,2328.12,2717.96,17057.8,TP,300639.088
338,7,39,45.3,2855.02,1383.09,8432.74,TD,79001.381
339,7,40,21.3,2027.43,3328.08,17738.47,TD,101297.086
340,7,41,42.6,2412.56,2045.5,12339.06,TC,117930.698
341,7,42,24.3,2387.7,1137.88,10688.73,TD,47140.152
342,7,43,17.7,2471.31,3703.98,13316.91,TD,89338.812
343,7,44,35.1,2170.84,904.35,7267.52,TP,56442.837
344,7,45,90.7,2497.52,1635.03,17714.63,TD,179138.149
345,7,46,92.7,2350.53,2940.6,12005.91,TP,312162.471
346,7,47,65.8,2220.01,1128.1,12715.12,TD,96793.182
347,7,48,26.8,2815.64,3916.74,12020.66,TP,145048.318
348,7,49,20.5,2811.19,2941.81,16121.58,TP,113095.193
349,8,50,94.5,2475.58,2609.21,11838.91,TD,267988.181
350,8,1,70.2,2173.54,3093.17,8987.42,TD,233693.946
351,8,2,50.9,2544.4,2383.03,9714.34,TD,139383.571
352,8,3,45.7,2523.72,3284.09,8184.02,TC,171429.879
353,8,4,66.3,2354.01,2178.74,14498.83,TD,170002.6
354,8,5,90.5,2524.7,1337.79,16809.82,TP,175705.137
355,8,6,44.8,2907.72,2054.7,12459.78,TC,123615.774
356,8,7,12.7,2180.08,3534.88,10276.04,TC,70707.948
357,8,8,64.8,2098.22,1579.16,13431.34,TD,125917.932
358,8,9,58.4,2375.36,2846.1,7589.09,TD,180730.144
359,8,10,94.9,2035.56,991.06,15517.62,TD,120915.346
360,8,11,79.6,2114.96,2398.53,14431.65,TP,237776.063
361,8,12,59.6,2206.98,2150.8,15743.45,TP,179199.355
362,8,13,68.2,2296.8,4296.81,15311.05,TP,342803.497
363,8,14,55.6,2224.08,4153.65,15531.21,TP,281313.771
364,8,15,57.5,2085.14,3248.19,12976.15,TP,229082.13
365,8,16,95,2317.14,4011.2,14525.43,TD,406621.828
366,8,17,51.4,2267.87,2702.4,16049.59,TP,190924.959
367,8,18,25.9,2018.31,3929.13,9376.87,TD,118785.769
368,8,19,13.1,2596.95,4295.42,9164,TP,87275.352
369,8,20,84.5,2075.86,3802.7,18000.24,TC,364804.562
370,8,21,98.7,2819.3,1642.82,10128.06,TP,196362.62
371,8,22,58.8,2321.61,2130,18147.81,TD,156602.106
372,8,23,95.8,2719.98,2385.35,18816,TC,274513.31
373,8,24,77.3,2970.25,3430.56,12545.14,TD,288224.762
374,8,25,87.1,2755.42,1420.58,17407.75,TD,154340.338
375,8,26,59.3,2965.18,2699.28,12542.64,TP,201914.668
376,8,27,86.5,2163.22,3478.37,11658.2,TC,329856.085
377,8,28,28.9,2000.74,4035.94,7078.14,TC,134919.128
378,8,29,74.9,2593.92,2421.06,18113.72,TP,240083.846
379,8,30,53.1,2699.46,3232.97,18130.45,TC,216070.202
380,8,31,79.6,2274.81,3854.17,8133.71,TP,334281.243
381,8,32,27,2504.25,1454.08,13875.8,TD,63965.69
382,8,33,10.9,2308.3,3976.33,14244.83,TD,68442.025
383,8,34,49.3,2230.89,1429.27,6731.55,TP,93561.706
384,8,35,50.5,2848.63,3943.44,8213.81,TC,220884.113
385,8,36,53.2,2930.82,971.79,14526.71,TD,77872.784
386,8,37,35.7,2844.76,3267.5,9888.17,TC,142237.301
387,8,38,29.9,2749.06,1891.06,11855.06,TC,86558.392
388,8,39,84.6,2806.78,4319.3,9608.9,TD,383593.8
389,8,40,47.3,2493.97,1541.71,6652.91,TD,86061.509
390,8,41,28.7,2172.24,4211.46,13585.72,TP,165156.874
391,8,42,12.6,2367.8,3168.79,7290.31,TD,53959.05
392,8,43,59.7,2616.97,2116.13,16889.38,TC,167795.505
393,8,44,60.9,2773.69,1263.8,8510.54,TD,93355.974
394,8,45,79.8,2901.45,3846.19,15964.7,TD,335370.932
395,8,46,68.9,2876.72,3248.27,18001.44,TP,282486.987
396,8,47,96.7,2063.42,2861.24,17726.74,TC,319516.83
397,8,48,38.3,2248.27,1067.82,15507.78,TC,78813.67
398,8,49,83.3,2395.95,1018.58,15327.55,TC,122497.029
399,9,50,55,2212.32,1876.9,15959.31,TP,154915.681
400,9,1,63.6,2590.27,3327.59,13544.56,TC,245377.482
401,9,2,69.3,2901.31,4348.88,6911.88,TD,315337.702
402,9,3,80.7,2595.06,2944.45,7198.94,TC,256769.737
403,9,4,45,2049.1,4101.03,9470.14,TC,208376.772
404,9,5,53.8,2921.77,1230.07,7086.84,TP,91068.74
405,9,6,54.2,2798.9,2348.38,8968.72,TC,150709.152
406,9,7,21.6,2576.63,985.48,8403.2,TP,49912.918
407,9,8,87.9,2738.96,4085.3,9833.13,TP,392319.533
408,9,9,82.3,2217.14,3468.39,10568,TC,311972.037
409,9,10,12.7,2392.11,2039.41,7199.44,TC,44851.329
410,9,11,97.6,2132.88,1917.61,6613.8,TD,199873.696
411,9,12,86.9,2055.63,3255.78,15570.52,TD,309895.744
412,9,13,77.5,2103.01,2821.08,11532.79,TD,239189.174
413,9,14,43,2460.99,1536.43,8732.32,TD,82499.192
414,9,15,52.3,2263.42,2212.73,17897.52,TC,159153.495
415,9,16,96.9,2647.02,2638.13,9791.7,TD,273948.537
416,9,17,30.9,2161.26,2691.26,16343.3,TD,111470.474
417,9,18,99.7,2458.9,2245.86,17007.35,TP,279093.927
418,9,19,58.2,2388.6,2228.17,16132.21,TC,169172.177
419,9,20,95.5,2392.79,4254.72,13800.42,TD,430799.222
420,9,21,24.1,2285.19,1631.04,8913.57,TC,62094.465
421,9,22,27.7,2147.08,3987.16,11358.42,TP,147802.514
422,9,23,86,2943.66,2701.8,16845.77,TD,262251.692
